id,_fivetran_synced,amount,amount_reversed,balance_transaction_id,created,currency,description,destination,destination_payment,destination_payment_id,livemode,metadata,reversed,source_transaction,source_transaction_id,source_type,transfer_group
po_0Njtvzig6peNXzgD6RPBasht,2023-08-29 02:19:08.363000 UTC,1447318,0,txn_0Njtw0ig6peNXzgDXY3mJGwC,2023-08-28 01:08:03.000000 UTC,usd,STRIPE PAYOUT,ba_0MkB7Nig6peNXzgDBFL0SIgk,,,true,"""{""netsuite_deposit_id"":""3975560"",""netsuite_deposit_link"":""https://en.wikipedia.org/wiki/Beyonc%C3%A9""}""",false,,,card,
po_0NjXKxig6peNXzgDgn8MqQuZ,2023-08-28 08:20:02.007000 UTC,2660278,0,txn_0NjXKyig6peNXzgDbmNVE84K,2023-08-27 01:00:19.000000 UTC,usd,STRIPE PAYOUT,ba_0MkB7Nig6peNXzgDBFL0SIgk,,,true,,false,,,card,
po_0NkGNTig6peNXzgDJWfkSimX,2023-08-30 02:19:14.069000 UTC,760313,0,txn_0NkGNTig6peNXzgDTsXXisyE,2023-08-29 01:05:55.000000 UTC,usd,STRIPE PAYOUT,ba_0MkB7Nig6peNXzgDBFL0SIgk,,,true,,false,,,card,
po_0NkcrHig6peNXzgDwoDFU4Yi,2023-08-30 02:19:14.110000 UTC,1944407,0,txn_0NkcrHig6peNXzgD7eFO2jc7,2023-08-30 01:06:11.000000 UTC,usd,STRIPE PAYOUT,ba_0MkB7Nig6peNXzgDBFL0SIgk,,,true,,false,,,card,
po_0Mbvvvig6peNXzgDNH6Wf3ha,2023-02-17 01:15:32.101000 UTC,7251977,0,txn_0Mbvvvig6peNXzgDJAGJCdpN,2023-02-16 01:06:47.000000 UTC,usd,STRIPE PAYOUT,ba_1S2vcDBpbM03IU,,,true,,false,,,card,
po_0LunJvig6peNXzgD41QBrw1m,2022-10-21 08:21:56.036000 UTC,-1426166,0,txn_0LunJwig6peNXzgDCnBflWPl,2022-10-20 01:13:15.000000 UTC,usd,STRIPE PAYOUT,ba_1S2vcDBpbM03IU,,,true,,false,,,card,
po_0MRQ1gig6peNXzgD138jhQS7,2023-01-19 02:19:35.969000 UTC,7332491,0,txn_0MRQ1gig6peNXzgDchKTwIPQ,2023-01-18 01:01:16.000000 UTC,usd,STRIPE PAYOUT,ba_1S2vcDBpbM03IU,,,true,,false,,,card,
po_0MRmW1ig6peNXzgDUPQSnmYw,2023-01-20 02:19:18.511000 UTC,6108653,0,txn_0MRmW1ig6peNXzgDFqR0yaFa,2023-01-19 01:02:05.000000 UTC,usd,STRIPE PAYOUT,ba_1S2vcDBpbM03IU,,,true,,false,,,card,
po_0MJ5C6ig6peNXzgDyic22YlD,2022-12-27 02:19:05.887000 UTC,3456033,0,txn_0MJ5C7ig6peNXzgDfWTszRUw,2022-12-26 01:09:34.000000 UTC,usd,STRIPE PAYOUT,ba_1S2vcDBpbM03IU,,,true,,false,,,card,
po_0MDe3Sig6peNXzgDJHinDGmA,2022-12-12 02:18:56.921000 UTC,3330213,0,txn_0MDe3Tig6peNXzgDSyxtRpRH,2022-12-11 01:10:10.000000 UTC,usd,STRIPE PAYOUT,ba_1S2vcDBpbM03IU,,,true,,false,,,card,
